演员,关系,戏园
雷喜福,演出于,广和楼
雷喜福,演出于,中和戏院
雷喜福,演出于,消闲友会
陆金桂,演出于,三庆园
陆金桂,演出于,大舞台
陆金桂,演出于,广和楼
陆金桂,演出于,天乐茶园
陆金桂,演出于,文明茶园
陆金桂,演出于,景泰茶园
陈文启,演出于,三庆园
陈文启,演出于,文明茶园
陈文启,演出于,吉祥园双庆社
陈文启,演出于,吉祥园
陈文启,演出于,燕舞台
艾云杰,演出于,三庆园
康喜寿,演出于,三庆园
康喜寿,演出于,广德楼
康喜寿,演出于,庆升茶园
康喜寿,演出于,春仙茶园
周喜如,演出于,三庆园
周喜如,演出于,庆升茶园
赵洪庆,演出于,三庆园
艾云飞,演出于,三庆园
艾云飞,演出于,春仙茶园
孙喜云,演出于,三庆园
孙喜云,演出于,广和楼
孙喜云,演出于,丹桂茶园
孙喜云,演出于,庆乐茶园
孙喜云,演出于,春仙茶园
孙喜云,演出于,景泰茶园
孙喜云,演出于,浙江温处助账义务戏
德建堂,演出于,三庆园
德建堂,演出于,大舞台
德建堂,演出于,丹桂茶园
德建堂,演出于,吉祥舞台
德建堂,演出于,春仙茶园
德建堂,演出于,歌舞台
于云鹏,演出于,三庆园
于云鹏,演出于,华乐戏院
于云鹏,演出于,吉祥大戏院
刘景然,演出于,三庆园
刘景然,演出于,大舞台
刘景然,演出于,广和楼
刘景然,演出于,开明戏院
刘景然,演出于,吉祥园双庆社
刘景然,演出于,吉祥园
刘景然,演出于,吉祥茶园
刘景然,演出于,同乐园松庆社
刘景然,演出于,同乐茶园
刘景然,演出于,庆乐园
刘景然,演出于,庆乐茶园
刘景然,演出于,春仙茶园
刘景然,演出于,景泰茶园
沈少田,演出于,三庆园
沈少田,演出于,牡丹园春庆社
闫岚亭,演出于,三庆园
九阵凤,演出于,三庆园
九阵凤,演出于,第一舞台
谭小培,演出于,三庆园
谭小培,演出于,中和戏院
谭小培,演出于,庆升茶园
侯春兰,演出于,三庆园
侯春兰,演出于,广和楼
张春燕,演出于,三庆园
张春燕,演出于,文明茶园
张春燕,演出于,庆乐茶园
瑞德宝,演出于,三庆园
瑞德宝,演出于,广和楼
瑞德宝,演出于,天乐茶园
瑞德宝,演出于,春仙茶园
瑞德宝,演出于,景泰茶园
瑞德宝,演出于,浙江温处助账义务戏
王子石,演出于,三庆园
王子石,演出于,天乐茶园
张某,演出于,三庆园
张黑,演出于,三庆园
张黑,演出于,天乐茶园
张黑,演出于,春仙茶园
李寿山,演出于,三庆园
李寿山,演出于,牡丹园春庆社
李寿山,演出于,文明茶园
李寿山,演出于,吉祥园
李寿山,演出于,吉祥园双庆社
李寿山,演出于,新明剧场
冯惠林,演出于,三庆园
冯惠林,演出于,吉祥园
冯惠林,演出于,景泰茶园
王九龄,演出于,三庆茶园
王九龄,演出于,消闲友会
小寿山,演出于,三庆茶园
小寿山,演出于,吉祥园斌广社
小寿山,演出于,消闲友会
王斌■,演出于,三庆茶园
刘斌宝,演出于,三庆茶园
小玉■,演出于,三庆茶园
小■州,演出于,三庆茶园
王斌珍,演出于,三庆茶园
六六旦,演出于,三庆茶园
二宝红,演出于,三庆茶园
二宝红,演出于,吉祥园斌广社
孟斌海,演出于,三庆茶园
俞少民,演出于,三庆茶园
筱春来,演出于,三庆茶园
小金元,演出于,三庆茶园
小金元,演出于,广兴茶园
小金元,演出于,丹桂茶园
筱云升,演出于,三庆茶园
杨保森,演出于,三庆茶园
小桂花,演出于,三庆茶园
小桂花,演出于,三庆戏院
小桂花,演出于,广德楼
小桂花,演出于,吉祥园斌广社
小桂花,演出于,燕喜堂
小桂花,演出于,消闲友会
小奎官,演出于,三庆茶园
小奎官,演出于,广德楼
小奎官,演出于,吉祥园斌广社
小奎官,演出于,春仙茶园
小奎官,演出于,燕舞台
小奎官,演出于,消闲友会
苏斌太,演出于,三庆茶园
苏斌太,演出于,广德楼
苏斌太,演出于,中和戏院
苏斌太,演出于,开明戏院
苏斌太,演出于,吉祥园斌广社
苏斌太,演出于,哈尔飞戏院
陆凤山,演出于,三庆茶园
小振庭,演出于,三庆茶园
小振庭,演出于,吉祥园双庆社
耿斌福,演出于,三庆茶园
耿斌福,演出于,广德楼
耿斌福,演出于,吉祥园斌广社
耿斌福,演出于,消闲友会
高斌峯,演出于,三庆茶园
高斌峯,演出于,广德楼
韩富信,演出于,三庆茶园
韩富信,演出于,华乐园
姚富才,演出于,三庆茶园
于斌楼,演出于,三庆茶园
俞步兰,演出于,三庆茶园
俞步兰,演出于,广德楼
俞步兰,演出于,哈尔飞戏院
俞步兰,演出于,消闲友会
王斌芬,演出于,三庆茶园
王斌芬,演出于,吉祥园斌广社
王斌芬,演出于,吉祥园双庆社
范斌禄,演出于,三庆茶园
范斌禄,演出于,广德楼
范斌禄,演出于,吉祥大戏院
范斌禄,演出于,哈尔飞戏院
范斌禄,演出于,消闲友会
赵斌忠,演出于,三庆茶园
俞华庭,演出于,三庆茶园
俞华庭,演出于,广德楼
俞华庭,演出于,吉祥园
俞华庭,演出于,吉祥园斌广社
俞华庭,演出于,吉祥园双庆社
俞华庭,演出于,消闲友会
王斌才,演出于,三庆茶园
代斌竹,演出于,三庆茶园
陈斌志,演出于,三庆茶园
李斌祥,演出于,三庆茶园
李斌祥,演出于,广德楼
李斌祥,演出于,哈尔飞戏院
筱菊花,演出于,三庆戏院
筱■花,演出于,三庆戏院
赵艳蓉,演出于,三庆戏院
碧云霞,演出于,三庆戏院
碧彩霞,演出于,三庆戏院
十三妹,演出于,三庆戏院
李筱霞,演出于,三庆戏院
芙蓉花,演出于,三庆戏院
芙蓉花,演出于,同益茶园
花筱仙,演出于,三庆戏院
花云舫,演出于,三庆戏院
刘锡九,演出于,三庆戏院
王万仓,演出于,三庆戏院
李義芬,演出于,三庆戏院
筱活猴,演出于,三庆戏院
王万良,演出于,三庆戏院
张连城,演出于,三庆戏院
王东江,演出于,三庆戏院
赵德广,演出于,三庆戏院
贾玉仁,演出于,三庆戏院
窦邦安,演出于,三庆戏院
碧彩云,演出于,三庆戏院
窦邦平,演出于,三庆戏院
何玉,演出于,三庆戏院
魏凤鸣,演出于,三庆戏院
赵双奎,演出于,三庆戏院
王玉明,演出于,三庆戏院
李澍生,演出于,三庆戏院
李义芬,演出于,三庆戏院
李义芬,演出于,开明戏院
小活猴,演出于,三庆戏院
小活猴,演出于,广德戏院
小活猴,演出于,吉祥茶园
孙月明,演出于,三庆戏院
李顺星,演出于,三庆戏院
李小楼,演出于,三庆戏院
李小楼,演出于,广德楼
花小仙,演出于,三庆戏院
花小仙,演出于,开明戏院
刘连璧,演出于,三庆戏院
刘连璧,演出于,开明戏院
张近朋,演出于,三庆戏院
吴宝纯,演出于,三庆戏院
窦玉策,演出于,三庆戏院
阴秉山,演出于,三庆戏院
宋兰亭,演出于,三庆戏院
李義著,演出于,三庆戏院
李義名,演出于,三庆戏院
王被作,演出于,三庆戏院
王东傑,演出于,三庆戏院
赵德■,演出于,三庆戏院
张■■,演出于,三庆戏院
赵庆嵆,演出于,三庆戏院
李小霞,演出于,三庆戏院
盖明■,演出于,三庆戏院
赵艳霞,演出于,三庆戏院
张小云,演出于,三庆戏院
小菊花,演出于,三庆戏院
小伶花,演出于,三庆戏院
小荷花,演出于,三庆戏院
小荷花,演出于,中和茶园
小荷花,演出于,丹桂茶园
小荷花,演出于,吉祥舞台
小荷花,演出于,庆升园
小荷花,演出于,春仙茶园
小荷花,演出于,燕舞台
小荷花,演出于,堂会义务戏戏单
赵雅蓉,演出于,三庆戏院
蓝明珠,演出于,三庆戏院
赵砚蓉,演出于,三庆戏院
王东波,演出于,三庆戏院
李義廷,演出于,三庆戏院
李筱楼,演出于,三庆戏院
李树生,演出于,三庆戏院
张筱云,演出于,三庆戏院
筱荷花,演出于,三庆戏院
筱活候,演出于,三庆戏院
阴宝山,演出于,三庆戏院
侯玉云,演出于,三庆戏院
成国祯,演出于,三庆戏院
张宝楼,演出于,三庆戏院
小黑■,演出于,三庆戏院
郭文志,演出于,三庆戏院
王万苍,演出于,三庆戏院
张九凤,演出于,三庆戏院
王益芬,演出于,三庆戏院
张小亭,演出于,三庆戏院
张士长,演出于,三庆戏院
张■芬,演出于,三庆戏院
张士成,演出于,三庆戏院
王盛之,演出于,三庆戏院
赵庆奎,演出于,三庆戏院
赵庆奎,演出于,吉祥舞台
花玉楼,演出于,三庆戏院
花玉楼,演出于,庆乐园
筱金霞,演出于,三庆戏院
花艳霞,演出于,三庆戏院
花艳霞,演出于,广德戏院
许奎芳,演出于,三庆戏院
筱金英,演出于,三庆戏院
张云霞,演出于,三庆戏院
厐筱霞,演出于,三庆戏院
郭砚芳,演出于,三庆戏院
筱全霞,演出于,三庆戏院
花砚霞,演出于,三庆戏院
孙凤岗,演出于,三庆戏院
孙凤岗,演出于,广德戏院
周子和,演出于,三庆戏院
王宝珍,演出于,三庆戏院
张献堂,演出于,三庆戏院
刘玉昆,演出于,三庆戏院
王云卿,演出于,三庆戏院
王云卿,演出于,春仙茶园
王云卿,演出于,歌舞台
李洪图,演出于,三庆戏院
朱广志,演出于,三庆戏院
盖云楼,演出于,三庆戏院
金慧■,演出于,三庆戏院
谭振英,演出于,三庆戏院
明日珠,演出于,三庆戏院
明日珠,演出于,广德戏院
花灵芝,演出于,三庆戏院
王瑞兴,演出于,三庆戏院
花月楼,演出于,三庆戏院
花月楼,演出于,广德戏院
■德奎,演出于,三庆戏院
王瑞林,演出于,三庆戏院
王瑞林,演出于,广和楼
梅兰玉,演出于,三庆戏院
喜彩秋,演出于,三庆戏院
马凤兰,演出于,三庆戏院
李义廷,演出于,三庆戏院
李砚廷,演出于,三庆戏院
■树山,演出于,三庆戏院
刘庆宝,演出于,三庆戏院
黄金祥,演出于,三庆戏院
喜彩芬,演出于,三庆戏院
郭宝玉,演出于,三庆戏院
李厚怡,演出于,三庆戏院
赵德海,演出于,三庆戏院
芭兰花,演出于,三庆戏院
金慧舫,演出于,三庆戏院
金慧舫,演出于,广德戏院
钟庆亮,演出于,三庆戏院
许富龄,演出于,三庆戏院
郭■玉,演出于,三庆戏院
刘庆生,演出于,三庆戏院
明月珠,演出于,三庆戏院
李孚怡,演出于,三庆戏院
■里壤,演出于,三庆戏院
喜彩兰,演出于,三庆戏院
梅兰花,演出于,三庆戏院
赵凤宝,演出于,三庆戏院
赵凤珍,演出于,三庆戏院
王福安,演出于,三庆戏院
张仲玉,演出于,三庆戏院
碧鸣舞,演出于,三庆戏院
鸿小英,演出于,三庆戏院
鸿艳樵,演出于,三庆戏院
俞菊樵,演出于,三庆戏院
碧凤霞,演出于,三庆戏院
芦树山,演出于,三庆戏院
全班合演,演出于,大舞台
全班合演,演出于,广兴茶园
全班合演,演出于,广和楼
全班合演,演出于,中和茶园
全班合演,演出于,丹桂茶园
全班合演,演出于,天乐茶园
全班合演,演出于,文明茶园
全班合演,演出于,东庆茶园
全班合演,演出于,吉祥茶园
全班合演,演出于,吉祥园
全班合演,演出于,吉祥大戏院
全班合演,演出于,吉祥舞台
全班合演,演出于,同乐园松庆社
全班合演,演出于,同益茶园
全班合演,演出于,庆升茶园
全班合演,演出于,庆乐茶园
